document_id,document_kind,place_id,category,name,city,latitude,longitude,search_text,context_text,source_ids
osm-n12012117279,place,osm-n12012117279,activity,Lady Stretch,Ессентуки,44.052305,42.889711,"Lady Stretch — объект в городе Ессентуки. Часы работы по данным карты: Mo-Su 09:00-14:00,16:00-21:00. Сайт: https://ladystretch.com/essentuki. Телефон: +7 938 3044110.","Lady Stretch — объект в городе Ессентуки. Часы работы по данным карты: Mo-Su 09:00-14:00,16:00-21:00. Сайт: https://ladystretch.com/essentuki. Телефон: +7 938 3044110.",osm
osm-n4854082275,place,osm-n4854082275,activity,Адреналин,Ессентуки,44.046231,42.897804,Адреналин — объект в городе Ессентуки.,Адреналин — объект в городе Ессентуки.,osm
osm-w182246328,place,osm-w182246328,activity,Стадион Труд,Ессентуки,44.032359,42.870449,Стадион Труд — объект в городе Ессентуки.,Стадион Труд — объект в городе Ессентуки.,osm
osm-w169625858,place,osm-w169625858,activity,Школьный стадион,Ессентуки,44.032925,42.844414,Школьный стадион — объект в городе Ессентуки.,Школьный стадион — объект в городе Ессентуки.,osm
osm-w170130323,place,osm-w170130323,activity,Школьный стадион,Ессентуки,44.036785,42.848770,Школьный стадион — объект в городе Ессентуки.,Школьный стадион — объект в городе Ессентуки.,osm
osm-w650250617,place,osm-w650250617,culture,ISKCON Temple,Ессентуки,44.018658,42.823560,ISKCON Temple — объект в городе Ессентуки. Адрес: Тёплая улица 3.,ISKCON Temple — объект в городе Ессентуки. Адрес: Тёплая улица 3.,osm
osm-n5856136279,place,osm-n5856136279,culture,Ангельские крылья,Ессентуки,44.059480,42.862499,Ангельские крылья — арт-объект в городе Ессентуки.,Ангельские крылья — арт-объект в городе Ессентуки.,osm
osm-n6341309385,place,osm-n6341309385,culture,Армянская апостольская церковь Сурб-Рипсиме,Ессентуки,44.054458,42.841397,Армянская апостольская церковь Сурб-Рипсиме — объект в городе Ессентуки. Адрес: улица Буачидзе 70. Часы работы по данным карты: Mo-Su 08:00-19:00. Телефон: +7 988 7880368.,Армянская апостольская церковь Сурб-Рипсиме — объект в городе Ессентуки. Адрес: улица Буачидзе 70. Часы работы по данным карты: Mo-Su 08:00-19:00. Телефон: +7 988 7880368.,osm
osm-n11104605523,place,osm-n11104605523,culture,Бабочка в руке,Ессентуки,44.059689,42.860484,Бабочка в руке — арт-объект в городе Ессентуки.,Бабочка в руке — арт-объект в городе Ессентуки.,osm
osm-w463311155,place,osm-w463311155,culture,Банкетный зал «Оазис»,Ессентуки,44.070955,42.846137,Банкетный зал «Оазис» — объект в городе Ессентуки.,Банкетный зал «Оазис» — объект в городе Ессентуки.,osm
