scenario,Concurrency,RPS,avg latency,p95,Queue,Compute Input,Compute Infer,Compute Output,Network
bls_questions,1,0.184,5431.899,8827.222,0.157,0.06,5427.529,0.475,3.66
bls_questions,2,0.274,7145.659,12619.137,0.151,0.071,7141.006,0.497,3.916
bls_questions,4,0.229,17093.523,35130.468,8419.461,0.113,8669.874,0.509,3.546
bls_rude,1,26.875,36.83,53.096,0.916,0.069,30.54,0.46,4.819
bls_rude,2,30.338,64.623,116.659,1.029,0.066,55.559,0.507,7.444
bls_rude,4,26.913,146.827,235.171,61.257,0.074,72.605,0.881,11.99
e5,1,16.575,60.244,84.407,3.359,0.068,51.736,0.043,5.017
e5,8,25.975,306.71,469.378,132.25,0.288,165.849,0.061,8.239
e5,16,28.078,564.481,788.271,304.403,0.331,249.547,0.072,10.106
e5_count1,16,28.083,567.213,819.741,314.218,0.238,241.575,0.078,11.085
e5_count2,16,20.419,779.282,1137.769,212.95,0.09,559.209,0.069,6.946
e5_count4x2,16,26.161,603.588,942.706,100.585,0.207,493.271,0.093,9.409
e5_count4x4,16,34.156,463.21,719.468,68.216,0.128,382.502,0.088,12.253
e5_nobatch,1,10.658,93.705,108.589,0.164,0.039,88.727,0.039,4.723
e5_nobatch,8,30.956,256.571,289.102,122.075,0.043,128.055,0.048,6.33
e5_nobatch,16,30.245,522.054,588.16,384.173,0.047,131.307,0.049,6.459
gen,1,0.134,7442.203,11129.009,0.155,0.132,1.361,0.058,7440.497
gen,4,0.186,20798.787,39598.178,0.255,0.101,0.928,0.064,20797.439
gen,8,0.181,41466.083,76126.577,0.331,0.101,1.066,0.06,41464.525
tox,1,32.86,30.363,52.014,3.539,0.061,20.966,0.04,5.74
tox,8,74.641,106.951,186.335,25.622,0.161,72.621,0.052,8.476
tox,16,89.327,178.682,288.689,48.883,0.235,118.511,0.112,10.923
tox_nobatch,1,24.466,40.823,67.125,1.192,0.056,33.061,0.038,6.456
tox_nobatch,8,54.364,147.091,210.247,105.171,0.069,35.16,0.055,6.619
tox_nobatch,16,49.524,320.076,458.324,272.851,0.081,38.373,0.047,8.705
